Date,Close
1/1/2018,215.899994
1/2/2018,214.899994
1/3/2018,215
1/4/2018,212.850006
1/5/2018,215
1/8/2018,224.050003
1/9/2018,215.850006
1/10/2018,214.199997
1/11/2018,213.25
1/12/2018,214
1/15/2018,214.899994
1/16/2018,210.050003
1/17/2018,210
1/18/2018,211.199997
1/19/2018,205.149994
1/22/2018,204.899994
1/23/2018,204.850006
1/24/2018,209.800003
1/25/2018,201.800003
1/29/2018,206.949997
1/30/2018,200.800003
1/31/2018,201.050003
2/1/2018,196.199997
2/2/2018,195
2/5/2018,193
2/6/2018,188.199997
2/7/2018,194.949997
2/8/2018,194.699997
2/9/2018,200
2/12/2018,207.800003
2/14/2018,193.050003
2/15/2018,188.149994
2/16/2018,182.100006
2/19/2018,177.449997
2/20/2018,170.699997
2/21/2018,165.300003
2/22/2018,171.850006
2/23/2018,153.5
2/26/2018,124.650002
2/27/2018,113.150002
2/28/2018,101.849998
3/1/2018,112
3/5/2018,116.599998
3/6/2018,111.099998
3/7/2018,105.150002
3/8/2018,99.900002
3/9/2018,90.800003
3/12/2018,85.099998
3/13/2018,80.900002
3/14/2018,78.5
3/15/2018,77.599998
3/16/2018,81.449997
3/19/2018,78.900002
3/20/2018,81.5
3/21/2018,79.5
3/22/2018,77
3/23/2018,78.300003
3/26/2018,74.400002
3/27/2018,75
3/28/2018,72.949997
4/2/2018,74.599998
4/3/2018,72.5
4/4/2018,75
4/5/2018,78.75
4/6/2018,82.650002
4/9/2018,84.5
4/10/2018,88.699997
4/11/2018,91.650002
4/12/2018,92.199997
4/13/2018,95.449997
4/16/2018,93
4/17/2018,97.5
4/18/2018,98.150002
4/19/2018,100.699997
4/20/2018,103.900002
4/23/2018,104.75
4/24/2018,100.300003
4/25/2018,96
4/26/2018,93.349998
4/27/2018,97.800003
4/30/2018,98.5
5/2/2018,98.300003
5/3/2018,95.349998
5/4/2018,90.599998
5/7/2018,92.900002
5/8/2018,95.900002
5/9/2018,92
5/10/2018,92
5/11/2018,87.400002
5/14/2018,87.400002
5/15/2018,87.400002
5/16/2018,90
5/17/2018,86
5/18/2018,84.5
5/21/2018,84.5
5/22/2018,84.5
5/23/2018,84.5
5/24/2018,83
5/25/2018,83
5/28/2018,86.949997
5/29/2018,86.949997
5/30/2018,89.949997
5/31/2018,86.800003
6/1/2018,85
6/4/2018,88.800003
6/5/2018,88.800003
6/6/2018,88
6/7/2018,90
6/8/2018,91.900002
6/11/2018,87.349998
6/12/2018,83
6/13/2018,78.849998
6/14/2018,74.949997
6/15/2018,71.25
6/18/2018,67.75
6/19/2018,67.349998
6/20/2018,67.75
6/21/2018,64.400002
6/22/2018,62
6/25/2018,65.099998
6/26/2018,65
6/27/2018,63
6/28/2018,63
6/29/2018,61.549999
7/2/2018,62.549999
7/3/2018,65.199997
7/4/2018,67
7/5/2018,67
7/6/2018,70
7/9/2018,70
7/10/2018,70
7/11/2018,73.5
7/12/2018,70
7/13/2018,70
7/16/2018,70
7/17/2018,73.449997
7/18/2018,73.449997
7/19/2018,73.449997
7/20/2018,71.800003
7/23/2018,68.25
7/24/2018,64.849998
7/25/2018,61.650002
7/26/2018,64.699997
7/27/2018,64.699997
7/30/2018,67.900002
7/31/2018,70.75
8/1/2018,67.25
8/2/2018,70.550003
8/3/2018,67.349998
8/6/2018,69.849998
8/7/2018,69.849998
8/8/2018,68.449997
8/9/2018,71.5
8/10/2018,71.5
8/13/2018,67.949997
8/14/2018,64.75
8/16/2018,67.949997
8/17/2018,68
8/20/2018,71
8/21/2018,71
8/23/2018,71
8/24/2018,71
8/27/2018,71
8/28/2018,72
8/29/2018,72.800003
8/30/2018,72.800003
8/31/2018,69.199997
9/3/2018,71.949997
9/4/2018,71.949997
9/5/2018,68.400002
9/6/2018,65
9/7/2018,62.849998
9/10/2018,59.849998
9/11/2018,57.299999
9/12/2018,55
9/14/2018,57.5
9/17/2018,54.900002
9/18/2018,53.049999
9/19/2018,55.700001
9/21/2018,55.700001
9/24/2018,53
9/25/2018,50.349998
9/26/2018,47.849998
9/27/2018,47.849998
9/28/2018,47.849998
10/1/2018,47.849998
10/3/2018,47.849998
10/4/2018,45.5
10/5/2018,45.5
10/8/2018,47.75
10/9/2018,47.75
10/10/2018,47.75
10/11/2018,45.400002
10/12/2018,43.150002
10/15/2018,41.150002
10/16/2018,40
10/17/2018,40
10/19/2018,41
10/22/2018,41
10/23/2018,39
10/24/2018,39
10/25/2018,39.5
10/26/2018,40
10/29/2018,40
10/30/2018,40
10/31/2018,40
11/1/2018,40
11/2/2018,40
11/5/2018,40
11/6/2018,40
11/7/2018,40
11/9/2018,38.049999
11/12/2018,38.049999
11/13/2018,36.150002
11/14/2018,34.650002
11/15/2018,33
11/16/2018,33
11/19/2018,33
11/20/2018,34.599998
11/21/2018,34.5
11/22/2018,34.150002
11/26/2018,34.099998
11/27/2018,34.099998
11/28/2018,33.799999
11/29/2018,35.200001
11/30/2018,35.099998
12/3/2018,35.25
12/4/2018,35.25
12/5/2018,35.25
12/6/2018,35.049999
12/7/2018,35.049999
12/10/2018,35.049999
12/11/2018,33.299999
12/12/2018,33.299999
12/13/2018,31.65
12/14/2018,30.1
12/17/2018,28.6
12/18/2018,28.6
12/19/2018,30
12/20/2018,30
12/21/2018,30
12/24/2018,28.5
12/26/2018,29.9
12/27/2018,31
12/28/2018,31
12/31/2018,31
1/1/2019,32.549999
1/2/2019,34
1/3/2019,34
1/4/2019,34.200001
1/7/2019,34.200001
1/8/2019,34.099998
1/9/2019,34.099998
1/10/2019,33.75
1/11/2019,33.75
1/14/2019,33.75
1/15/2019,33.75
1/16/2019,33.75
1/17/2019,33.75
1/18/2019,33
1/21/2019,33
1/22/2019,33
1/23/2019,33
1/24/2019,33
1/25/2019,33
1/28/2019,33
1/29/2019,33
1/30/2019,33
1/31/2019,33
2/1/2019,30
2/4/2019,30
2/5/2019,29
2/6/2019,28
2/7/2019,26.6
2/8/2019,26.6
2/11/2019,24.049999
2/12/2019,22.85
2/14/2019,20.700001
2/15/2019,19.700001
2/18/2019,18.75
2/19/2019,17.85
2/20/2019,17.5
2/21/2019,17.15
2/22/2019,16.85
2/25/2019,16.549999
2/26/2019,16.25
2/27/2019,15.95
2/28/2019,15.65
3/1/2019,15.35
3/5/2019,15.05
3/6/2019,14.75
3/7/2019,14.5
3/8/2019,14.25
3/11/2019,14
3/12/2019,13.75
3/13/2019,13.5
3/14/2019,13.25
3/15/2019,13.25
3/18/2019,13
3/19/2019,13.25
3/20/2019,13
3/22/2019,12.75
3/25/2019,12.5
3/26/2019,12.25
3/27/2019,12.2
3/28/2019,12
4/1/2019,11.57
4/2/2019,11.34
4/3/2019,11.12
4/4/2019,10.9
4/5/2019,10.9
4/8/2019,10.36
4/9/2019,9.85
4/10/2019,9.36
4/11/2019,8.9
4/12/2019,8.9
4/15/2019,8.1
4/16/2019,8.38
4/18/2019,7.97
4/22/2019,7.58
4/23/2019,7.21
4/24/2019,6.85
4/25/2019,6.51
4/26/2019,6.19
4/30/2019,6.19
5/2/2019,5.89
5/3/2019,5.78
5/6/2019,5.78
5/7/2019,5.67
5/8/2019,5.67
5/9/2019,5.67
5/10/2019,5.67
5/13/2019,5.67
5/14/2019,5.67
5/15/2019,5.67
5/16/2019,5.67
5/17/2019,5.67
5/20/2019,5.67
5/21/2019,5.67
5/22/2019,5.67
5/23/2019,5.67
5/24/2019,5.67
5/27/2019,5.67
5/28/2019,5.67
5/29/2019,5.67
5/30/2019,5.67
5/31/2019,5.67
6/3/2019,5.67
6/4/2019,5.67
6/6/2019,5.67
6/7/2019,5.67
6/10/2019,5.67
6/11/2019,5.67
6/12/2019,5.67
6/13/2019,5.67
6/14/2019,5.67
6/17/2019,5.67
6/18/2019,5.67
6/19/2019,5.67
6/20/2019,5.67
6/21/2019,5.67
6/24/2019,5.73
6/25/2019,5.73
6/26/2019,5.73
6/27/2019,5.73
6/28/2019,5.73
7/1/2019,5.64
7/2/2019,5.64
7/3/2019,5.64
7/4/2019,5.64
7/5/2019,5.64
7/8/2019,5.64
7/9/2019,5.64
7/10/2019,5.64
7/11/2019,5.64
7/12/2019,5.64
7/15/2019,5.53
7/16/2019,5.53
7/17/2019,5.53
7/18/2019,5.53
7/19/2019,5.53
7/22/2019,5.5
7/23/2019,5.5
7/24/2019,5.5
7/25/2019,5.5
7/26/2019,5.5
7/29/2019,5.5
7/30/2019,5.5
7/31/2019,5.5
8/1/2019,5.5
8/2/2019,5.5
8/5/2019,5.5
8/6/2019,5.5
8/7/2019,5.5
8/8/2019,5.5
8/9/2019,5.5
8/13/2019,5.23
8/14/2019,5.23
8/16/2019,5.23
8/19/2019,4.97
8/20/2019,4.97
8/21/2019,4.97
8/22/2019,4.97
8/23/2019,4.97
8/26/2019,4.97
8/27/2019,4.97
8/28/2019,4.97
8/29/2019,4.97
8/30/2019,4.97
9/3/2019,4.97
9/4/2019,4.97
9/5/2019,4.97
9/6/2019,4.97
9/9/2019,4.97
9/11/2019,4.97
9/12/2019,4.97
9/13/2019,4.97
9/16/2019,4.97
9/17/2019,4.97
9/18/2019,4.97
9/19/2019,4.97
9/20/2019,4.97
9/23/2019,4.97
9/24/2019,4.97
9/25/2019,4.97
9/26/2019,4.97
9/27/2019,4.97
9/30/2019,4.97
10/1/2019,4.97
10/3/2019,4.97
10/4/2019,4.97
10/7/2019,4.97
10/9/2019,4.97
10/10/2019,4.97
10/11/2019,4.97
10/14/2019,4.97
10/15/2019,4.97
10/16/2019,4.97
10/17/2019,4.97
10/18/2019,4.97
10/22/2019,4.97
10/23/2019,4.97
10/24/2019,4.97
10/25/2019,4.97
10/27/2019,null
10/29/2019,4.97
10/30/2019,4.97
10/31/2019,4.97
11/1/2019,4.97
11/4/2019,4.97
11/5/2019,4.97
11/6/2019,4.97
11/7/2019,4.97
11/8/2019,4.97
11/11/2019,4.73
11/13/2019,4.73
11/14/2019,4.73
11/15/2019,4.73
11/18/2019,4.73
11/19/2019,4.73
11/20/2019,4.73
11/21/2019,4.73
11/22/2019,4.73
11/25/2019,4.73
11/26/2019,4.73
11/27/2019,4.73
11/28/2019,4.73
11/29/2019,4.73
12/2/2019,4.73
12/3/2019,4.73
12/4/2019,4.73
12/5/2019,4.73
12/6/2019,4.73
12/9/2019,4.73
12/10/2019,4.73
12/11/2019,4.73
12/12/2019,4.73
12/13/2019,4.73
12/16/2019,4.73
12/17/2019,4.73
12/18/2019,4.73
12/19/2019,4.73
12/20/2019,4.73
12/23/2019,4.73
12/24/2019,4.73
12/26/2019,4.73
12/27/2019,4.73
12/30/2019,4.73
12/31/2019,4.73
